,Date,Matches,Venue,Time
0,25 Sep,Papua New Guinea vs Namibia,"Central Broward Regional Park Stadium, Lauderhill, Florida",23:30 To 03:30 (IST)
1,27 Sep,Pakistan vs Sri Lanka,"National Stadium, Karachi",15:30 To 23:30 (IST)
2,27 Sep,Zimbabwe vs Nepal,"Indian Association Ground, Singapore",17:00 To 21:00 (IST)
3,28 Sep,Singapore vs Nepal,"Indian Association Ground, Singapore",17:00 To 21:00 (IST)
4,29 Sep,Pakistan vs Sri Lanka,"National Stadium, Karachi",15:30 To 23:30 (IST)
5,29 Sep,Singapore vs Zimbabwe,"Indian Association Ground, Singapore",17:00 To 21:00 (IST)
6,26 Sep,India Women vs South Africa Women,"Lalabhai Contractor Stadium, Vesu, Surat",19:00 To 23:00 (IST)
7,29 Sep,Australia Women vs Sri Lanka Women,"North Sydney Oval, Sydney",10:00 To 14:00 (IST)
8,29 Sep,India Women vs South Africa Women,"Lalabhai Contractor Stadium, Vesu, Surat",19:00 To 23:00 (IST)
9,30 Sep,Australia Women vs Sri Lanka Women,"North Sydney Oval, Sydney",14:30 To 18:30 (IST)
0,2 Oct,India vs South Africa,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",09:30 To 16:30 (IST)
1,2 Oct,Pakistan vs Sri Lanka,"National Stadium, Karachi",15:30 To 23:30 (IST)
2,2 Oct,Singapore vs Nepal,"Indian Association Ground, Singapore",17:00 To 21:00 (IST)
3,3 Oct,Singapore vs Zimbabwe,"Indian Association Ground, Singapore",17:00 To 21:00 (IST)
4,3 Oct,Argentina vs Mexico,"El Cortijo Polo Club Pitch A Ground, Lima",18:30 To 22:30 (IST)
5,3 Oct,Brazil vs Chile,"El Cortijo Polo Club Pitch B Ground, Lima",22:00 To 02:00 (IST)
6,4 Oct,Peru vs Brazil,"El Cortijo Polo Club Pitch A Ground, Lima",01:30 To 05:30 (IST)
7,4 Oct,Chile vs Mexico,"El Cortijo Polo Club Pitch A Ground, Lima",18:30 To 22:30 (IST)
8,4 Oct,Peru vs Argentina,"El Cortijo Polo Club Pitch B Ground, Lima",22:00 To 02:00 (IST)
9,5 Oct,Argentina vs Brazil,"El Cortijo Polo Club Pitch A Ground, Lima",01:30 To 05:30 (IST)
10,5 Oct,Oman vs Hong Kong,"Al Amerat Cricket Ground Oman Cricket, Al Amarat",11:30 To 15:30 (IST)
11,5 Oct,Ireland vs Netherlands,"Al Amerat Cricket Ground Oman Cricket, Al Amarat",15:30 To 19:30 (IST)
12,5 Oct,Argentina vs Chile,"El Cortijo Polo Club Pitch A Ground, Lima",18:30 To 22:30 (IST)
13,5 Oct,Peru vs Mexico,"El Cortijo Polo Club Pitch B Ground, Lima",18:30 To 22:30 (IST)
14,5 Oct,Pakistan vs Sri Lanka,"Gaddafi Stadium, Lahore",19:00 To 23:00 (IST)
15,5 Oct,Peru vs Chile,"El Cortijo Polo Club Pitch A Ground, Lima",22:00 To 02:00 (IST)
16,6 Oct,Brazil vs Mexico,"El Cortijo Polo Club Pitch B Ground, Lima",01:30 To 05:30 (IST)
17,6 Oct,Oman vs Ireland,"Al Amerat Cricket Ground Oman Cricket, Al Amarat",11:30 To 15:30 (IST)
18,6 Oct,Nepal vs Hong Kong,"Al Amerat Cricket Ground Oman Cricket, Al Amarat",15:30 To 19:30 (IST)
19,7 Oct,T.B.C. vs T.B.C.,"Lima Cricket and Football Club, Lima",01:30 To 05:30 (IST)
20,7 Oct,Netherlands vs Nepal,"Al Amerat Cricket Ground Oman Cricket, Al Amarat",11:30 To 15:30 (IST)
21,7 Oct,Hong Kong vs Ireland,"Al Amerat Cricket Ground Oman Cricket, Al Amarat",15:30 To 19:30 (IST)
22,7 Oct,Pakistan vs Sri Lanka,"Gaddafi Stadium, Lahore",19:00 To 23:00 (IST)
23,9 Oct,Ireland vs Nepal,"Al Amerat Cricket Ground Oman Cricket, Al Amarat",11:30 To 15:30 (IST)
24,9 Oct,Oman vs Netherlands,"Al Amerat Cricket Ground Oman Cricket, Al Amarat",15:30 To 19:30 (IST)
25,9 Oct,Pakistan vs Sri Lanka,"Gaddafi Stadium, Lahore",19:00 To 23:00 (IST)
26,10 Oct,India vs South Africa,"Maharashtra Cricket Association Stadium, Pune",09:30 To 16:30 (IST)
27,10 Oct,Netherlands vs Hong Kong,"Al Amerat Cricket Ground Oman Cricket, Al Amarat",11:30 To 15:30 (IST)
28,10 Oct,Oman vs Nepal,"Al Amerat Cricket Ground Oman Cricket, Al Amarat",15:30 To 19:30 (IST)
29,18 Oct,Scotland vs Singapore,"ICC Global Cricket Academy Ground, Dubai",11:30 To 15:30 (IST)
30,18 Oct,Hong Kong vs Ireland,"Sheikh Zayed Stadium, Abu Dhabi",15:40 To 19:40 (IST)
31,18 Oct,Kenya vs Netherlands,"ICC Global Cricket Academy Ground, Dubai",15:40 To 19:40 (IST)
32,18 Oct,United Arab Emirates vs Oman,"Sheikh Zayed Stadium, Abu Dhabi",21:00 To 01:00 (IST)
33,19 Oct,India vs South Africa,"JSCA International Stadium Complex, Ranchi",09:30 To 16:30 (IST)
34,19 Oct,Bermuda vs Papua New Guinea,"ICC Global Cricket Academy Ground, Dubai",11:30 To 15:30 (IST)
